Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
23/01/2019 10:21,23/01/2019 11:21,64
23/01/2019 11:21,23/01/2019 12:21,64
23/01/2019 12:21,23/01/2019 13:22,65
23/01/2019 13:22,23/01/2019 14:22,63
23/01/2019 14:22,23/01/2019 15:22,61
23/01/2019 15:22,23/01/2019 16:22,58
23/01/2019 16:22,23/01/2019 17:22,56
23/01/2019 17:23,23/01/2019 18:23,55
23/01/2019 18:23,23/01/2019 19:23,50
23/01/2019 19:23,23/01/2019 20:23,52
23/01/2019 20:23,23/01/2019 21:23,48
23/01/2019 21:23,23/01/2019 22:24,51
23/01/2019 22:24,23/01/2019 23:24,52
23/01/2019 23:24,24/01/2019 00:24,53
24/01/2019 00:24,24/01/2019 01:24,55
24/01/2019 01:24,24/01/2019 02:25,55
24/01/2019 02:25,24/01/2019 03:25,54
24/01/2019 03:25,24/01/2019 04:25,52
24/01/2019 04:25,24/01/2019 05:25,51
24/01/2019 05:25,24/01/2019 06:25,47
24/01/2019 06:26,24/01/2019 07:26,49
24/01/2019 07:26,24/01/2019 08:26,52
24/01/2019 08:26,24/01/2019 09:26,51
24/01/2019 09:26,24/01/2019 10:26,52
24/01/2019 10:26,24/01/2019 11:27,52
24/01/2019 11:27,24/01/2019 12:27,54
24/01/2019 12:27,24/01/2019 13:27,57
24/01/2019 13:27,24/01/2019 14:27,55
24/01/2019 14:27,24/01/2019 15:28,62
24/01/2019 15:28,24/01/2019 16:28,66
24/01/2019 16:28,24/01/2019 17:28,75
24/01/2019 17:28,24/01/2019 18:28,79
24/01/2019 18:28,24/01/2019 19:29,81
24/01/2019 19:29,24/01/2019 20:29,62
24/01/2019 20:29,24/01/2019 21:29,56
24/01/2019 21:29,24/01/2019 22:29,56
24/01/2019 22:29,24/01/2019 23:29,58
24/01/2019 23:30,25/01/2019 00:30,60
25/01/2019 00:30,25/01/2019 01:30,58
25/01/2019 01:30,25/01/2019 02:30,60
25/01/2019 02:30,25/01/2019 03:30,59
25/01/2019 03:30,25/01/2019 04:31,59
25/01/2019 04:31,25/01/2019 05:31,60
25/01/2019 05:31,25/01/2019 06:31,60
25/01/2019 06:31,25/01/2019 07:31,62
